Day,Month,Year,Open,High,Low,Close,Adj Close,Volume
9,Sep,2008,"14,814.33","14,998.32","14,714.92","14,900.76","14,900.76","19,800"
8,Sep,2008,"15,038.06","15,107.01","14,917.06","14,944.97","14,944.97","23,400"
5,Sep,2008,"14,569.01","14,601.39","14,438.59","14,483.83","14,483.83","23,200"
4,Sep,2008,"14,895.85","14,994.15","14,766.01","14,899.10","14,899.10","19,800"
2,Sep,2008,"14,609.44","15,106.15","14,543.21","15,049.86","15,049.86","25,700"
1,Sep,2008,"14,412.99","14,547.41","14,281.10","14,498.51","14,498.51","14,800"
29,Aug,2008,"14,279.02","14,586.16","14,279.02","14,564.53","14,564.53","32,400"
28,Aug,2008,"14,289.97","14,347.19","14,002.43","14,048.34","14,048.34","18,800"
27,Aug,2008,"14,563.10","14,563.10","14,261.69","14,296.79","14,296.79","15,600"
26,Aug,2008,"14,338.27","14,495.27","14,286.38","14,482.22","14,482.22","18,800"
25,Aug,2008,"14,643.37","14,672.69","14,416.20","14,450.35","14,450.35","17,000"
22,Aug,2008,"14,153.39","14,428.52","14,136.86","14,401.49","14,401.49","20,400"
21,Aug,2008,"14,646.98","14,646.98","14,201.18","14,243.73","14,243.73","19,400"
20,Aug,2008,"14,610.57","14,746.20","14,584.03","14,678.23","14,678.23","18,400"
19,Aug,2008,"14,517.76","14,604.11","14,368.72","14,543.73","14,543.73","17,600"
18,Aug,2008,"14,681.14","14,824.92","14,600.65","14,645.66","14,645.66","19,600"
14,Aug,2008,"15,017.68","15,033.28","14,686.66","14,724.18","14,724.18","22,000"
13,Aug,2008,"15,030.21","15,272.56","15,013.06","15,093.12","15,093.12","19,200"
12,Aug,2008,"15,577.20","15,579.78","15,124.91","15,212.13","15,212.13","27,000"
11,Aug,2008,"15,430.31","15,520.71","15,367.97","15,503.92","15,503.92","26,200"
8,Aug,2008,"15,036.57","15,228.82","14,888.12","15,167.82","15,167.82","21,000"
7,Aug,2008,"15,031.86","15,280.06","14,992.97","15,117.25","15,117.25","25,800"
6,Aug,2008,"15,263.65","15,422.82","15,035.60","15,073.54","15,073.54","32,600"
5,Aug,2008,"14,562.68","14,986.63","14,529.21","14,961.07","14,961.07","35,600"
4,Aug,2008,"14,594.64","14,725.94","14,503.51","14,577.87","14,577.87","24,800"
1,Aug,2008,"14,064.26","14,682.33","14,032.87","14,656.69","14,656.69","40,200"
31,Jul,2008,"14,359.48","14,369.42","14,161.76","14,355.75","14,355.75","27,800"
30,Jul,2008,"14,007.32","14,322.67","14,002.19","14,287.21","14,287.21","26,000"
29,Jul,2008,"14,085.53","14,153.12","13,727.14","13,791.54","13,791.54","23,600"
28,Jul,2008,"14,267.03","14,421.61","14,219.38","14,349.11","14,349.11","21,800"
25,Jul,2008,"14,451.95","14,484.39","14,210.63","14,274.94","14,274.94","27,800"
24,Jul,2008,"15,082.37","15,130.09","14,608.05","14,777.01","14,777.01","31,200"
23,Jul,2008,"14,568.22","14,979.90","14,568.22","14,942.28","14,942.28","39,000"
22,Jul,2008,"13,837.64","14,206.13","13,798.18","14,104.20","14,104.20","35,600"
21,Jul,2008,"13,782.13","13,878.88","13,581.19","13,850.04","13,850.04","32,400"
18,Jul,2008,"13,234.53","13,684.27","13,093.34","13,635.40","13,635.40","36,600"
17,Jul,2008,"12,909.57","13,150.35","12,843.79","13,111.85","13,111.85","33,600"
16,Jul,2008,"12,759.76","12,935.25","12,514.99","12,575.80","12,575.80","31,200"
15,Jul,2008,"13,067.08","13,067.08","12,607.62","12,676.19","12,676.19","30,000"
14,Jul,2008,"13,333.03","13,557.21","13,270.40","13,330.51","13,330.51","23,600"
11,Jul,2008,"14,063.45","14,063.45","13,351.34","13,469.85","13,469.85","29,000"
10,Jul,2008,"13,851.59","14,046.59","13,763.94","13,926.24","13,926.24","26,400"
9,Jul,2008,"13,581.41","13,998.48","13,581.41","13,964.26","13,964.26","27,600"
8,Jul,2008,"13,226.04","13,451.67","13,049.96","13,349.65","13,349.65","25,400"
7,Jul,2008,"13,561.92","13,793.39","13,476.29","13,525.99","13,525.99","21,200"
4,Jul,2008,"13,097.01","13,508.38","13,031.43","13,454.00","13,454.00","31,400"
3,Jul,2008,"13,458.30","13,458.30","12,934.92","13,094.11","13,094.11","29,200"
2,Jul,2008,"12,948.05","13,711.01","12,822.75","13,664.62","13,664.62","32,000"
1,Jul,2008,"13,480.02","13,613.01","12,904.09","12,961.68","12,961.68","27,600"
30,Jun,2008,"13,791.02","13,872.06","13,405.54","13,461.60","13,461.60","22,400"
27,Jun,2008,"14,127.76","14,127.76","13,760.78","13,802.22","13,802.22","32,200"
26,Jun,2008,"14,300.72","14,449.81","14,196.68","14,421.82","14,421.82","21,800"
25,Jun,2008,"13,776.21","14,247.16","13,736.01","14,220.07","14,220.07","23,000"
24,Jun,2008,"14,290.16","14,432.90","13,991.31","14,106.58","14,106.58","24,800"
23,Jun,2008,"14,423.05","14,509.69","14,163.45","14,293.32","14,293.32","24,600"
20,Jun,2008,"15,194.73","15,194.73","14,520.88","14,571.29","14,571.29","26,000"
19,Jun,2008,"15,250.47","15,259.36","15,051.66","15,087.99","15,087.99","18,600"
18,Jun,2008,"15,744.21","15,789.62","15,390.22","15,422.31","15,422.31","22,000"
17,Jun,2008,"15,388.36","15,732.75","15,358.75","15,696.90","15,696.90","18,200"
16,Jun,2008,"15,400.57","15,553.37","15,340.34","15,395.82","15,395.82","15,200"
13,Jun,2008,"15,327.10","15,337.10","15,135.81","15,189.62","15,189.62","20,200"
12,Jun,2008,"14,957.53","15,270.85","14,748.07","15,250.20","15,250.20","25,000"
11,Jun,2008,"15,018.68","15,225.81","15,009.48","15,185.32","15,185.32","34,600"
10,Jun,2008,"14,979.96","15,088.03","14,645.31","14,889.25","14,889.25","26,400"
9,Jun,2008,"15,115.97","15,202.74","14,846.18","15,066.10","15,066.10","24,400"
6,Jun,2008,"15,914.41","15,970.70","15,526.50","15,572.18","15,572.18","19,600"
5,Jun,2008,"15,479.65","15,814.80","15,314.02","15,769.72","15,769.72","28,600"
4,Jun,2008,"15,992.90","15,992.90","15,442.34","15,514.79","15,514.79","23,800"
